iter	Passed	Remaining
0	0	41
1	0	39
2	1	38
3	1	35
4	1	35
5	2	35
6	2	35
7	3	35
8	3	35
9	3	35
10	4	35
11	5	38
12	5	37
13	6	36
14	6	36
15	6	36
16	7	35
17	7	34
18	8	34
19	8	34
20	8	33
21	9	33
22	9	33
23	10	32
24	10	32
25	11	32
26	11	31
27	12	31
28	12	31
29	13	30
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	16	28
36	16	28
37	16	27
38	17	26
39	17	26
40	18	26
41	18	25
42	18	24
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	21	21
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	25	18
57	25	18
58	25	18
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	14
66	29	14
67	30	14
68	31	13
69	31	13
70	32	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	39	5
88	40	4
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
