iter	Passed	Remaining
0	1	1500
1	1	941
2	2	784
3	2	709
4	3	782
5	4	735
6	4	696
7	5	677
8	5	652
9	6	627
10	6	619
11	7	598
12	7	587
13	8	575
14	8	570
15	9	559
16	9	550
17	9	541
18	10	533
19	10	527
20	11	518
21	11	515
22	12	516
23	12	513
24	13	514
25	13	510
26	14	513
27	14	515
28	15	511
29	15	507
30	16	504
31	16	505
32	17	504
33	17	506
34	18	504
35	18	502
36	19	500
37	19	500
38	20	498
39	20	495
40	21	491
41	21	489
42	21	488
43	22	485
44	22	484
45	23	485
46	23	486
47	24	485
48	25	485
49	25	482
50	26	484
51	26	485
52	27	483
53	27	483
54	28	483
55	28	482
56	29	481
57	29	480
58	30	479
59	30	479
60	31	479
61	31	479
62	32	478
63	32	478
64	33	476
65	33	475
66	34	475
67	34	474
68	35	472
69	35	471
70	35	469
71	36	467
72	36	466
73	37	465
74	37	463
75	38	463
76	38	461
77	39	461
78	39	460
79	39	459
80	40	459
81	41	459
82	41	455
83	41	454
84	42	453
85	42	452
86	42	450
87	43	449
88	43	449
89	44	449
90	44	448
91	45	448
92	46	448
93	46	448
94	47	447
95	47	446
96	47	446
97	48	446
98	48	445
99	49	444
100	50	445
101	50	445
102	51	444
103	51	443
104	52	443
105	52	441
106	52	440
107	53	441
108	53	441
109	54	441
110	55	440
111	55	439
112	55	438
113	56	439
114	57	439
115	57	438
116	57	436
117	58	435
118	58	434
119	59	433
120	59	432
121	59	430
122	60	429
123	60	429
124	61	428
125	61	427
126	61	425
127	62	423
128	62	424
129	63	423
130	63	423
131	64	423
132	64	422
133	65	422
134	65	421
135	66	420
136	66	420
137	67	420
138	67	419
139	68	418
140	68	418
141	68	415
142	69	415
143	69	414
144	70	415
145	70	414
146	71	414
147	71	414
148	72	414
149	72	413
150	73	413
151	73	412
152	74	412
153	74	411
154	75	411
155	75	410
156	76	409
157	76	409
158	77	408
159	78	410
160	78	409
161	79	408
162	79	408
163	80	408
164	80	407
165	81	407
166	81	406
167	81	405
168	82	405
169	82	405
170	83	404
171	83	404
172	84	404
173	85	404
174	85	404
175	86	404
176	86	403
177	87	403
178	87	402
179	88	402
180	88	402
181	97	439
182	98	439
183	99	440
184	99	439
185	100	438
186	100	437
187	101	436
188	101	435
189	101	434
190	102	433
191	102	432
192	103	431
193	104	434
194	106	439
195	107	440
196	108	442
197	109	443
198	110	442
199	110	443
200	111	444
201	112	444
202	113	444
203	113	444
204	114	444
205	115	443
206	116	444
207	117	445
208	117	445
209	118	445
210	120	452
211	121	452
212	123	457
213	124	458
214	125	459
215	127	461
216	127	460
217	128	461
218	129	460
219	129	459
220	130	459
221	131	459
222	131	459
223	132	459
224	133	459
225	133	458
226	134	457
227	135	457
228	135	456
229	136	455
230	136	454
231	137	454
232	137	453
233	138	452
234	138	452
235	139	451
236	140	452
237	141	451
238	141	450
239	142	450
240	142	448
241	143	448
242	143	447
243	144	446
244	144	446
245	145	445
246	145	444
247	146	443
248	146	442
249	147	442
250	148	442
251	148	441
252	149	441
253	149	440
254	150	439
255	150	438
256	151	437
257	152	437
258	152	436
259	153	436
260	153	435
261	154	434
262	154	433
263	155	433
264	155	432
265	156	431
266	156	430
267	157	430
268	157	429
269	158	428
270	159	427
271	159	427
272	160	426
273	160	425
274	161	425
275	161	424
276	162	423
277	163	423
278	163	422
279	164	422
280	164	421
281	165	420
282	165	419
283	166	419
284	167	419
285	167	418
286	168	417
287	168	416
288	169	415
289	169	415
290	170	415
291	171	415
292	171	414
293	172	413
294	172	413
295	173	412
296	173	411
297	174	410
298	174	409
299	175	409
300	175	408
301	176	407
302	176	406
303	177	406
304	177	405
305	178	404
306	179	404
307	179	403
308	180	402
309	180	401
310	181	401
311	181	400
312	182	399
313	182	398
314	183	398
315	183	397
316	184	396
317	184	395
318	185	395
319	185	394
320	186	393
321	186	393
322	187	392
323	187	391
324	188	391
325	188	390
326	189	389
327	190	389
328	190	388
329	191	388
330	191	387
331	192	386
332	192	385
333	193	385
334	193	384
335	194	384
336	195	383
337	195	382
338	196	382
339	196	381
340	197	380
341	197	379
342	198	380
343	199	379
344	199	378
345	200	378
346	200	377
347	201	376
348	201	375
349	202	375
350	202	374
351	203	374
352	203	373
353	204	372
354	204	371
355	205	371
356	205	370
357	206	369
358	206	369
359	207	368
360	207	367
361	208	366
362	208	366
363	209	365
364	209	364
365	210	364
366	210	363
367	211	363
368	211	362
369	212	361
370	212	360
371	213	359
372	213	359
373	214	358
374	214	358
375	215	357
376	215	356
377	216	356
378	216	355
379	217	354
380	218	354
381	218	353
382	219	353
383	219	352
384	220	351
385	220	350
386	221	350
387	221	349
388	222	348
389	222	347
390	222	347
391	223	346
392	223	345
393	224	344
394	224	344
395	225	343
396	225	342
397	226	342
398	226	341
399	227	340
400	227	339
401	228	339
402	228	338
403	228	337
404	229	337
405	229	336
406	230	335
407	230	335
408	231	334
409	231	333
410	232	332
411	232	332
412	233	331
413	233	331
414	234	330
415	234	329
416	235	328
417	235	328
418	236	327
419	236	326
420	237	326
421	237	325
422	238	324
423	238	324
424	239	323
425	239	322
426	239	322
427	240	321
428	240	320
429	241	319
430	242	319
431	242	318
432	242	318
433	243	317
434	243	316
435	244	316
436	244	315
437	245	314
438	245	314
439	246	313
440	246	312
441	247	312
442	247	311
443	248	310
444	248	310
445	249	309
446	249	309
447	250	308
448	250	307
449	251	307
450	251	306
451	252	305
452	252	305
453	253	304
454	253	303
455	254	303
456	254	302
457	255	302
458	255	301
459	256	300
460	256	300
461	257	299
462	257	298
463	258	298
464	258	297
465	259	297
466	259	296
467	260	296
468	261	295
469	261	295
470	262	294
471	262	293
472	263	293
473	263	292
474	264	292
475	265	292
476	265	291
477	266	291
478	266	290
479	267	289
480	268	289
481	268	288
482	269	288
483	270	287
484	270	287
485	271	287
486	272	286
487	272	286
488	273	285
489	273	285
490	274	284
491	274	283
492	275	283
493	275	282
494	276	282
495	277	281
496	277	280
497	277	280
498	278	279
499	278	278
500	279	278
501	279	277
502	280	277
503	280	276
504	281	275
505	281	275
506	282	274
507	282	274
508	283	273
509	283	272
510	284	272
511	284	271
512	285	271
513	285	270
514	286	269
515	287	269
516	287	268
517	288	268
518	288	267
519	289	267
520	289	266
521	290	265
522	291	265
523	291	264
524	292	264
525	292	263
526	293	263
527	293	262
528	294	262
529	295	261
530	295	261
531	296	260
532	297	260
533	297	259
534	298	259
535	298	258
536	299	258
537	300	257
538	300	257
539	301	256
540	301	256
541	302	255
542	303	255
543	303	254
544	304	253
545	304	253
546	305	252
547	305	252
548	306	251
549	306	250
550	307	250
551	307	249
552	308	249
553	308	248
554	309	248
555	309	247
556	310	246
557	310	246
558	311	245
559	312	245
560	312	244
561	313	244
562	313	243
563	314	242
564	314	242
565	315	241
566	315	241
567	316	240
568	316	240
569	317	239
570	318	238
571	318	238
572	319	237
573	319	237
574	320	236
575	320	236
576	321	235
577	321	235
578	322	234
579	323	233
580	323	233
581	324	232
582	324	232
583	325	231
584	325	231
585	326	230
586	326	230
587	327	229
588	328	228
589	328	228
590	329	227
591	329	227
592	330	226
593	330	225
594	331	225
595	331	224
596	332	224
597	332	223
598	333	223
599	333	222
600	334	222
601	335	221
602	335	221
603	336	220
604	337	220
605	337	219
606	338	219
607	339	218
608	339	218
609	340	217
610	341	217
611	341	216
612	342	216
613	342	215
614	343	215
615	344	214
616	344	214
617	345	213
618	346	212
619	346	212
620	347	212
621	348	211
622	348	210
623	349	210
624	350	210
625	350	209
626	351	208
627	351	208
628	352	207
629	353	207
630	353	206
631	354	206
632	354	205
633	355	205
634	356	204
635	356	204
636	357	203
637	357	203
638	358	202
639	359	202
640	359	201
641	360	200
642	361	200
643	361	199
644	362	199
645	362	198
646	363	198
647	363	197
648	364	196
649	364	196
650	365	195
651	365	195
652	366	194
653	366	194
654	367	193
655	367	192
656	368	192
657	368	191
658	369	191
659	370	190
660	370	190
661	371	189
662	371	188
663	372	188
664	372	187
665	373	187
666	374	186
667	374	186
668	375	185
669	375	185
670	376	184
671	376	183
672	377	183
673	378	182
674	378	182
675	379	181
676	379	181
677	380	180
678	380	180
679	381	179
680	382	179
681	382	178
682	383	177
683	383	177
684	384	176
685	384	176
686	385	175
687	385	174
688	386	174
689	386	173
690	387	173
691	387	172
692	388	172
693	389	171
694	389	171
695	390	170
696	390	169
697	391	169
698	391	168
699	392	168
700	393	167
701	393	167
702	394	166
703	394	165
704	395	165
705	395	164
706	396	164
707	396	163
708	397	163
709	398	162
710	398	162
711	399	161
712	399	160
713	400	160
714	400	159
715	401	159
716	401	158
717	402	157
718	402	157
719	403	156
720	403	156
721	404	155
722	404	155
723	405	154
724	406	154
725	406	153
726	407	152
727	407	152
728	408	151
729	408	151
730	409	150
731	410	150
732	410	149
733	411	149
734	411	148
735	412	147
736	412	147
737	413	146
738	414	146
739	414	145
740	415	145
741	415	144
742	416	143
743	416	143
744	417	142
745	417	142
746	418	141
747	418	141
748	419	140
749	420	140
750	420	139
751	421	138
752	421	138
753	422	137
754	422	137
755	423	136
756	424	136
757	424	135
758	425	134
759	425	134
760	426	133
761	426	133
762	427	132
763	427	132
764	428	131
